,word data,ocr data,conf,check,ocr time,
695,r,r,96,0,,
696,m,m,96,0,,
697,t,t,97,0,,
698,o,o,97,0,,
699,t,t,96,0,,
700,h,h,96,0,,
701,e,e,96,0,,
702,O,O,96,0,,
703,f,f,96,0,,
704,f,f,96,0,,
705,i,i,96,0,,
706,c,c,96,0,,
707,e,e,96,0,,
708,o,o,96,0,,
709,f,f,96,0,,
710,t,t,96,0,,
711,h,h,96,0,,
712,e,e,96,0,,
713,C,C,96,0,,
714,o,o,96,0,,
715,m,m,96,0,,
716,m,m,96,0,,
717,u,u,96,0,,
718,n,n,96,0,,
719,i,i,96,0,,
720,c,c,96,0,,
721,a,a,96,0,,
722,t,t,96,0,,
723,i,i,96,0,,
724,o,o,96,0,,
725,n,n,96,0,,
726,s,s,96,0,,
727,A,A,95,0,,
728,u,u,95,0,,
729,t,t,95,0,,
730,h,h,95,0,,
731,o,o,95,0,,
732,r,r,95,0,,
733,i,i,95,0,,
734,t,t,95,0,,
735,y,y,95,0,,
736,(,(,93,0,,
737,F,F,93,0,,
738,a,a,93,0,,
739,x,x,93,0,,
740,N,N,92,0,,
741,o,o,92,0,,
742,:,:,92,0,,
743,2,2,96,0,,
744,5,5,96,0,,
745,0,0,96,0,,
746,7,7,96,0,,
747,2,2,96,0,,
748,2,2,96,0,,
749,1,1,96,0,,
750,9,9,96,0,,
751,),),96,0,,
752,3,3,93,0,,
753,T,T,96,0,,
754,h,h,96,0,,
755,e,e,96,0,,
756,i,i,96,0,,
757,n,n,96,0,,
758,f,f,96,0,,
759,o,o,96,0,,
760,r,r,96,0,,
761,m,m,96,0,,
762,a,a,96,0,,
763,t,t,96,0,,
764,i,i,96,0,,
765,o,o,96,0,,
766,n,n,96,0,,
767,y,y,96,0,,
768,o,o,96,0,,
769,u,u,96,0,,
770,p,p,96,0,,
771,r,r,96,0,,
772,o,o,96,0,,
773,v,v,96,0,,
774,i,i,96,0,,
775,d,d,96,0,,
776,e,e,96,0,,
777,d,d,96,0,,
778,i,i,97,0,,
779,n,n,97,0,,
780,P,P,96,0,,
781,a,a,96,0,,
782,r,r,96,0,,
783,t,t,96,0,,
784,I,I,92,0,,
785,I,I,92,0,,
786,a,a,96,0,,
787,n,n,96,0,,
788,d,d,96,0,,
789,P,P,96,0,,
790,a,a,96,0,,
791,r,r,96,0,,
792,t,t,96,0,,
793,I,I,92,0,,
794,I,I,92,0,,
795,I,I,92,0,,
796,w,w,96,0,,
797,i,i,96,0,,
798,l,l,96,0,,
799,l,l,96,0,,
800,b,b,96,0,,
801,e,e,96,0,,
802,u,u,96,0,,
803,s,s,96,0,,
804,e,e,96,0,,
805,d,d,96,0,,
806,f,f,96,0,,
807,o,o,96,0,,
808,r,r,96,0,,
809,t,t,96,0,,
810,h,h,96,0,,
811,e,e,96,0,,
812,p,p,96,0,,
813,u,u,96,0,,
814,r,r,96,0,,
815,p,p,96,0,,
816,o,o,96,0,,
817,s,s,96,0,,
818,e,e,96,0,,
819,s,s,96,0,,
820,w,w,96,0,,
821,h,h,96,0,,
822,i,i,96,0,,
823,c,c,96,0,,
824,h,h,96,0,,
825,a,a,96,0,,
826,r,r,96,0,,
827,e,e,96,0,,
828,d,d,96,0,,
829,i,i,96,0,,
830,r,r,96,0,,
831,e,e,96,0,,
832,c,c,96,0,,
833,t,t,96,0,,
834,l,l,96,0,,
835,y,y,96,0,,
836,r,r,96,0,,
837,e,e,96,0,,
838,l,l,96,0,,
839,a,a,96,0,,
840,t,t,96,0,,
841,e,e,96,0,,
842,d,d,96,0,,
843,t,t,96,0,,
844,o,o,96,0,,
845,t,t,96,0,,
846,h,h,96,0,,
847,i,i,96,0,,
848,s,s,96,0,,
849,c,c,96,0,,
850,o,o,96,0,,
851,m,m,96,0,,
852,p,p,96,0,,
853,l,l,96,0,,
854,a,a,96,0,,
855,i,i,96,0,,
856,n,n,96,0,,
857,t,t,96,0,,
858,C,C,96,0,,
859,o,o,96,0,,
860,m,m,96,0,,
861,p,p,96,0,,
862,l,l,96,0,,
863,a,a,96,0,,
864,i,i,96,0,,
865,n,n,96,0,,
866,t,t,96,0,,
867,s,s,96,0,,
868,w,w,96,0,,
869,i,i,96,0,,
870,t,t,96,0,,
871,h,h,96,0,,
872,o,o,96,0,,
873,u,u,96,0,,
874,t,t,96,0,,
875,s,s,93,0,,
876,u,u,93,0,,
877,f,f,93,0,,
