,word data,ocr data,conf,check,ocr time
32654,m,m,96,0,
32655,o,o,96,0,
32656,r,r,96,0,
32657,e,e,96,0,
32658,t,t,96,0,
32659,h,h,96,0,
32660,a,a,96,0,
32661,n,n,96,0,
32662,o,o,97,0,
32663,n,n,97,0,
32664,e,e,97,0,
32665,M,M,96,0,
32666,a,a,96,0,
32667,i,i,96,0,
32668,n,n,96,0,
32669,t,t,96,0,
32670,e,e,96,0,
32671,n,n,96,0,
32672,a,a,96,0,
32673,n,n,96,0,
32674,c,c,96,0,
32675,e,e,96,0,
32676,P,P,96,0,
32677,e,e,96,0,
32678,r,r,96,0,
32679,i,i,96,0,
32680,o,o,96,0,
32681,d,d,96,0,
32682,",",",",96,0,
32683,o,o,96,0,
32684,n,n,96,0,
32685,t,t,96,0,
32686,h,h,96,0,
32687,e,e,96,0,
32688,s,s,96,0,
32689,a,a,96,0,
32690,m,m,96,0,
32691,e,e,96,0,
32692,d,d,96,0,
32693,a,a,96,0,
32694,t,t,96,0,
32695,e,e,96,0,
32696,a,a,96,0,
32697,s,s,96,0,
32698,t,t,96,0,
32699,h,h,96,0,
32700,e,e,96,0,
32701,l,l,96,0,
32702,a,a,96,0,
32703,s,s,96,0,
32704,t,t,96,0,
32705,M,M,96,0,
32706,a,a,96,0,
32707,i,i,96,0,
32708,n,n,96,0,
32709,t,t,96,0,
32710,e,e,96,0,
32711,n,n,96,0,
32712,a,a,96,0,
32713,n,n,96,0,
32714,c,c,96,0,
32715,e,e,96,0,
32716,P,P,96,0,
32717,e,e,96,0,
32718,r,r,96,0,
32719,i,i,96,0,
32720,o,o,96,0,
32721,d,d,96,0,
32722,3,,,1,
32723,T,T,96,0,
32724,h,h,96,0,
32725,i,i,96,0,
32726,s,s,96,0,
32727,p,p,96,0,
32728,a,a,96,0,
32729,r,r,96,0,
32730,a,a,96,0,
32731,g,g,96,0,
32732,r,r,96,0,
32733,a,a,96,0,
32734,p,p,96,0,
32735,h,h,96,0,
32736,i,i,96,0,
32737,s,s,96,0,
32738,a,a,96,0,
32739,p,p,96,0,
